original		memento	
http://www.leeds.ac.uk/music/Man/c_front.html		https://web.archive.org/web/19961020085552/http://www.leeds.ac.uk/music/Man/c_front.html	
http://www-ks.rus.uni-stuttgart.de/people/schulz/fmusic/		https://web.archive.org/web/19970221181009/http://www-ks.rus.uni-stuttgart.de/people/schulz/fmusic/	
http://www.ccsr.uiuc.edu/People/gmk/Projects/ChuaSoundMusic/ChuaSoundMusic.html		https://web.archive.org/web/19971210170935/http://www.ccsr.uiuc.edu/People/gmk/Projects/ChuaSoundMusic/ChuaSoundMusic.html	
			
Fill Out & Submit			
			
http://ringo.media.mit.edu/ringo/ringo.html		missing	
http://nmt.edu/~jefu/notes/notes.html		missing	
http://www.cs.colorado.edu/~andreas/Teaching/Music/Experiments.html		https://web.archive.org/web/19970501100540/http://www.cs.colorado.edu/~andreas/Teaching/Music/Experiments.html	
http://porsche.boltz.cs.cmu.edu:8001/htbin/mjwgenform		missing	
http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformI		https://web.archive.org/web/19961121134625/http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformI	
http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformII		https://web.archive.org/web/19961121134634/http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformII	
http://robocop.modmath.cs.cmu.edu:8001/htbin/mjwgenformIII		missing	
http://webhound.www.media.mit.edu/projects/webhound/		https://web.archive.org/web/19961213031905/http://webhound.www.media.mit.edu/projects/webhound/	
http://www-mitpress.mit.edu/Leonardo/kiosk.html		missing	
http://persona.www.media.mit.edu/Postcards/		https://web.archive.org/web/19980215040032/http://persona.www.media.mit.edu/Postcards/	
			
Artists			
			
http://american.recordings.com/wwwofmusic/ubl.html		missing	
http://www.csd.uwo.ca/~tzoq/Residents/		missing	
http://www.nando.net/music/gm/BeastieBoys		missing	
http://kosmic.wit.com/~kosmic/		missing	
http://www.futurenet.co.uk/netmag/Band/Band.html		missing	
http://www.riv.nl/farmers/tex/		missing	
http://www.voyagerco.com/		https://web.archive.org/web/19961121232902/http://www.voyagerco.com/	
			
Socializing & Shopping			
			
http://cdnow.com/		https://web.archive.org/web/19961219003241/http://cdnow.com/	
http://rg.media.mit.edu/RG/RG.html		missing	
http://www.mtv.com/		https://web.archive.org/web/19960512183908/http://www.mtv.com/	
http://legowww.itek.norut.no/		missing	
http://www.mit.edu:8001/people/jcb/viola-jokes.html		https://web.archive.org/web/19970503101645/http://www.mit.edu:8001/people/jcb/viola-jokes.html	
http://www2.khm.uni-koeln.de/~suzi/		missing	
